u,g,r,i,z,ra,dec,flags_r
23.0526,23.15435,21.85309,20.83041,20.30747,187.34133591355,1.85372153323522,4503874773712896
26.02626,23.16022,21.63608,22.01922,21.19662,187.34702622156,1.85233147588141,4503874782134272
22.37228,21.79497,20.76998,20.29059,20.05262,187.34613854439,1.86266816040236,4503874773745664
23.64931,23.46531,22.23554,22.0084,20.77242,187.342604730218,1.84749562983174,4503874773712896
24.03176,24.21328,22.22184,22.50386,23.4573,187.350424053039,1.85829066852086,13511074162671616
23.68126,22.22056,21.44592,21.05636,20.73278,187.34421689444,1.8551788631526,4503874782101504
25.09818,23.58286,22.21403,22.17043,22.16611,187.35106634297,1.86147018987763,4503874807267344
22.66521,21.94444,21.37504,21.39718,20.57747,187.355468087172,1.85640276755576,4503874840821832
25.69431,22.70593,20.95379,20.51408,20.16338,187.356279591916,1.86029033710376,4503874773712896
23.30765,22.00008,20.96616,20.4887,19.9081,187.359079637734,1.85840039146975,6755674587430936
